objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
bdr020,Corbis Images Professional Photo of Robert Crooks Looking Through Binoculars,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr020,Image,image/jpg,,,,image,/objects/bdr020.jpeg,/objects/small/bdr020_sm.jpg,/objects/thumbs/bdr020_th.jpg,,
bdr021,Armed Robert Crooks Posing with American Flag,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr021,Image,image/jpg,,,,image,/objects/bdr021.jpeg,/objects/small/bdr021_sm.jpg,/objects/thumbs/bdr021_th.jpg,,
bdr022,Robert Crooks Pointing Gun at Camera,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr022,Image,image/jpg,,,,image,/objects/bdr022.jpeg,/objects/small/bdr022_sm.jpg,/objects/thumbs/bdr022_th.jpg,,
bdr023,Uncle Sam Poster: I Want You as a Minuteman Volunteer to Secure the US Border,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr023,Image,image/jpg,,,,image,/objects/bdr023.jpeg,/objects/small/bdr023_sm.jpg,/objects/thumbs/bdr023_th.jpg,,
bdr024,Minuteman Aiming Gun,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr024,Image,image/jpg,,,,image,/objects/bdr024.jpeg,/objects/small/bdr024_sm.jpg,/objects/thumbs/bdr024_th.jpg,,
bdr025,Armed Mountain Minutemen Posing with Water and Canned Food in Truck,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr025,Image,image/jpg,,,,image,/objects/bdr025.jpeg,/objects/small/bdr025_sm.jpg,/objects/thumbs/bdr025_th.jpg,,
bdr026,Armed Mountain Minutemen with Water and Canned Food left for Migrants,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr026,Image,image/jpg,,,,image,/objects/bdr026.jpeg,/objects/small/bdr026_sm.jpg,/objects/thumbs/bdr026_th.jpg,,
bdr027,Command Station,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr027,Image,image/jpg,,,,image,/objects/bdr027.jpeg,/objects/small/bdr027_sm.jpg,/objects/thumbs/bdr027_th.jpg,,
bdr028,Mounted Video Camera,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr028,Image,image/jpg,,,,image,/objects/bdr028.jpeg,/objects/small/bdr028_sm.jpg,/objects/thumbs/bdr028_th.jpg,,
bdr029,Mounted Video Camera Adjustment,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr029,Image,image/jpg,,,,image,/objects/bdr029.jpeg,/objects/small/bdr029_sm.jpg,/objects/thumbs/bdr029_th.jpg,,
bdr030,Command Station,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr030,Image,image/jpg,,,,image,/objects/bdr030.jpeg,/objects/small/bdr030_sm.jpg,/objects/thumbs/bdr030_th.jpg,,
bdr031,Robert Crooks Posing with Gun,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr031,Image,image/jpg,,,,image,/objects/bdr031.jpeg,/objects/small/bdr031_sm.jpg,/objects/thumbs/bdr031_th.jpg,,
bdr032,"Walkie Talkie, Water Bottle, and Mountain Minuteman Hat with Desert View",Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr032,Image,image/jpg,,,,image,/objects/bdr032.jpeg,/objects/small/bdr032_sm.jpg,/objects/thumbs/bdr032_th.jpg,,
bdr033,Found detritus on migrant path 2,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr033,Image,image/jpg,,,,image,/objects/bdr033.jpeg,/objects/small/bdr033_sm.jpg,/objects/thumbs/bdr033_th.jpg,,
